Timestamp,Latitude,Longitude,Num_Satellites,HDOP,Fix_Quality
21:31:53,-7.9404108,112.6131552,19,0.6,1
21:31:55,-7.9404108,112.6131558,20,0.6,1
21:31:57,-7.9404108,112.6131563,21,0.6,1
21:31:59,-7.9404108,112.6131567,21,0.6,1
21:32:01,-7.9404108,112.6131567,21,0.6,1
21:32:03,-7.9404103,112.6131553,21,0.6,1
21:32:05,-7.9404103,112.6131557,21,0.6,1
21:32:07,-7.94041,112.6131558,22,0.6,1
21:32:09,-7.94041,112.6131557,22,0.6,1
21:32:11,-7.9404142,112.6131393,22,0.6,1
21:32:13,-7.9404097,112.613122,22,0.6,1
21:32:15,-7.940395,112.6131098,23,0.6,1
21:32:17,-7.9403777,112.6131027,23,0.6,1
21:32:19,-7.9403623,112.6131048,23,0.6,1
21:32:21,-7.9403548,112.6131202,23,0.6,1
21:32:23,-7.9403458,112.6131345,23,0.6,1
21:32:25,-7.9403338,112.6131443,23,0.6,1
21:32:27,-7.9403232,112.6131575,23,0.6,1
21:32:29,-7.9403158,112.6131708,23,0.6,1
21:32:31,-7.9403043,112.6131795,23,0.6,1
21:32:33,-7.9402922,112.613191,23,0.6,1
21:32:35,-7.9402827,112.6132023,23,0.6,1
21:32:37,-7.9402717,112.6132157,23,0.6,1
21:32:39,-7.9402637,112.6132308,23,0.6,1
21:32:41,-7.9402525,112.6132443,23,0.6,1
21:32:43,-7.9402473,112.6132595,23,0.6,1
21:32:45,-7.9402557,112.6132727,23,0.6,1
21:32:47,-7.9402678,112.6132838,23,0.6,1
21:32:49,-7.9402808,112.6132928,23,0.6,1
21:32:51,-7.940295,112.6133002,23,0.6,1
21:32:53,-7.9403097,112.6133087,23,0.6,1
21:32:55,-7.9403238,112.6133183,23,0.6,1
21:32:57,-7.9403383,112.6133275,23,0.6,1
21:32:59,-7.9403518,112.6133382,23,0.6,1
21:33:01,-7.9403645,112.61335,23,0.6,1
21:33:03,-7.9403768,112.6133613,23,0.6,1
21:33:05,-7.9403888,112.613371,23,0.6,1
21:33:07,-7.9404028,112.6133793,23,0.6,1
21:33:09,-7.9404157,112.613391,23,0.6,1
21:33:11,-7.9404298,112.6133998,23,0.6,1
21:33:13,-7.9404443,112.6134053,23,0.6,1
21:33:15,-7.9404595,112.613411,23,0.6,1
21:33:17,-7.9404735,112.6134175,23,0.6,1
21:33:19,-7.940488,112.613423,23,0.6,1
21:33:21,-7.9405037,112.6134317,23,0.6,1
21:33:23,-7.9405198,112.613438,23,0.6,1
21:33:25,-7.9405355,112.6134467,23,0.6,1
21:33:27,-7.940551,112.613453,23,0.6,1
21:33:29,-7.9405667,112.6134617,23,0.6,1
21:33:31,-7.940578,112.6134635,23,0.6,1
21:33:33,-7.9405778,112.6134642,23,0.6,1
21:33:35,-7.9405713,112.6134647,23,0.6,1
21:33:37,-7.9405567,112.6134627,23,0.6,1
21:33:39,-7.9405437,112.6134565,23,0.6,1
