epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2859.55,0.84425,0.57815,1.00394,0.93678,0.91111,0.9362,0.64888,1.06106,0.47594,1.0868,0.000742625,0.000742625,0.000742625
43,2926.84,0.83645,0.57678,1.00696,0.92564,0.92223,0.93812,0.65233,1.06249,0.47745,1.07972,0.00073025,0.00073025,0.00073025
44,2996,0.82823,0.56138,1.00019,0.93818,0.91422,0.93738,0.63566,1.10055,0.48759,1.11474,0.000717875,0.000717875,0.000717875
45,3063.98,0.83376,0.56853,1.00472,0.92495,0.90968,0.93735,0.64714,1.05941,0.48944,1.09428,0.0007055,0.0007055,0.0007055
46,3133.39,0.83723,0.5721,1.00616,0.92982,0.9184,0.93832,0.65495,1.05673,0.46779,1.09256,0.000693125,0.000693125,0.000693125
47,3201.76,0.80707,0.55836,0.99351,0.93613,0.91223,0.93571,0.62709,1.12322,0.48421,1.12887,0.00068075,0.00068075,0.00068075
48,3271.82,0.81996,0.55058,0.99575,0.92778,0.92106,0.93705,0.6481,1.05511,0.46964,1.09294,0.000668375,0.000668375,0.000668375
49,3340.61,0.81723,0.54878,0.99502,0.92963,0.91038,0.93513,0.64527,1.05363,0.46466,1.08062,0.000656,0.000656,0.000656
50,3409.93,0.82078,0.54459,0.99567,0.9239,0.92431,0.93355,0.64086,1.06579,0.46689,1.1041,0.000643625,0.000643625,0.000643625
51,3479.63,0.80579,0.54137,0.99111,0.93577,0.92653,0.94263,0.64759,1.06633,0.46213,1.09468,0.00063125,0.00063125,0.00063125
52,3548,0.79513,0.5334,0.98787,0.92141,0.92607,0.93309,0.64424,1.05152,0.46265,1.09504,0.000618875,0.000618875,0.000618875
53,3616.9,0.79422,0.53199,0.98393,0.93543,0.91169,0.93588,0.63642,1.10302,0.47111,1.13052,0.0006065,0.0006065,0.0006065
54,3684.88,0.78956,0.52539,0.98437,0.93665,0.91798,0.93838,0.65248,1.04951,0.45837,1.08382,0.000594125,0.000594125,0.000594125
